score_name,description,path,top1,top20
Specific_ratio_threefactor,Ratio three-factor score: delta * relative contrast * hall strength.,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_Specific_ratio_threefactor.json,L16H30,L16H30 L20H30 L19H15 L18H31 L22H16 L19H31 L14H7 L30H24 L21H10 L23H7 L31H22 L20H28 L16H17 L24H4 L21H29 L24H24 L21H13 L22H23 L21H9 L19H6
Object_text_minus_all,Object-token text-prefix excess over all generated steps.,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_Object_text_minus_all.json,L19H0,L19H0 L21H22 L23H1 L16H21 L15H28 L30H2 L12H29 L27H17 L16H12 L23H3 L17H14 L27H15 L17H24 L18H5 L28H23 L22H4 L16H15 L27H2 L15H12 L18H2
Hall_text_minus_all,Hallucinated-token text-prefix excess over all generated steps.,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_Hall_text_minus_all.json,L19H0,L19H0 L15H28 L23H1 L12H29 L21H22 L16H21 L16H12 L30H2 L27H15 L21H10 L28H23 L27H17 L29H12 L12H28 L23H3 L15H7 L14H22 L17H14 L13H19 L13H10
Object_ratio_minus_all,Object-token T/(T+I) excess over all generated steps.,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_Object_ratio_minus_all.json,L25H26,L25H26 L26H15 L24H14 L28H16 L23H16 L29H0 L28H14 L29H27 L21H15 L16H27 L29H12 L13H23 L17H27 L26H7 L26H20 L23H9 L20H25 L24H1 L30H23 L25H7
Hall_ratio_minus_all,Hallucinated-token T/(T+I) excess over all generated steps.,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_Hall_ratio_minus_all.json,L25H26,L25H26 L21H10 L21H29 L16H30 L26H15 L21H9 L20H30 L24H14 L28H14 L23H9 L19H31 L25H7 L19H9 L15H14 L23H0 L15H5 L18H31 L21H13 L19H15 L17H27
Fusion_text70_ratioC30,"Rank fusion: 70% global text-prefix reliance, 30% hallucination contrast in T/(T+I).",./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_Fusion_text70_ratioC30.json,L26H14,L26H14 L16H17 L29H10 L20H12 L18H23 L20H20 L16H2 L17H9 L16H9 L16H4 L15H5 L15H27 L17H10 L26H28 L14H2 L14H19 L21H10 L20H11 L20H5 L15H22
Fusion_text50_ratioC30_imgdrop20,Rank fusion: text reliance + ratio contrast + image-attention drop.,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_Fusion_text50_ratioC30_imgdrop20.json,L16H17,L16H17 L26H14 L20H12 L15H5 L18H23 L29H10 L21H10 L15H27 L17H9 L17H10 L20H11 L18H31 L17H18 L16H13 L15H19 L17H0 L14H2 L20H20 L20H5 L19H31
Fusion_halltext50_logC30_imgdrop20,Rank fusion: hallucinated-step text reliance + log text-over-image contrast + image drop.,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_Fusion_halltext50_logC30_imgdrop20.json,L16H17,L16H17 L21H10 L29H10 L28H25 L26H28 L15H5 L14H20 L20H12 L18H23 L22H11 L16H2 L16H9 L26H9 L31H27 L17H9 L14H16 L27H2 L27H12 L26H14 L19H13
Fusion_text40_absC30_relC30,"Rank fusion balancing global text reliance, absolute text contrast, and relative text contrast.",./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_Fusion_text40_absC30_relC30.json,L14H16,L14H16 L18H9 L16H4 L16H17 L13H10 L12H18 L13H20 L20H12 L19H13 L18H31 L15H5 L16H6 L16H29 L16H9 L14H20 L14H7 L26H19 L16H2 L22H17 L15H24
Fusion_ratio_policy,"Policy-style ratio fusion using hall ratio, absolute ratio contrast, and relative ratio contrast.",./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_Fusion_ratio_policy.json,L21H10,L21H10 L19H31 L16H17 L18H31 L30H24 L21H13 L14H7 L15H5 L18H23 L13H19 L17H31 L23H9 L26H14 L15H14 L15H31 L25H26 L15H19 L20H12 L14H1 L25H19
