score_name,selection_method,front,back,verified_set,top20,top50,top100,verified_available,verified_total,missing_verified,top20_hits,top50_hits,top100_hits,top20_heads,path
layerweighted_top5mean_alpha2__itext_all__C_logtoi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_logtoi_HminusG,verified_HH_git,2,4,7,30,30,,L16H9 L16H29,L16H9 L16H29 L26H9 L26H28,L14H16 L16H9 L16H29 L26H9 L26H28 L31H3 L31H26,L16H2 L16H17 L16H9 L16H31 L16H6 L16H4 L16H13 L16H20 L16H3 L16H5 L16H18 L16H21 L16H0 L16H10 L16H30 L16H27 L16H29 L16H28 L16H1 L16H26,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_logtoi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_logtoi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_logtoi_HminusG,verified_HH_yield,1,3,7,30,30,,L16H29,L16H29 L26H9 L26H28,L14H16 L16H29 L26H9 L26H28 L31H3 L31H26 L31H27,L16H2 L16H17 L16H9 L16H31 L16H6 L16H4 L16H13 L16H20 L16H3 L16H5 L16H18 L16H21 L16H0 L16H10 L16H30 L16H27 L16H29 L16H28 L16H1 L16H26,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_logtoi_HminusG.json
global__itext_all__C_itext_mass_HminusG,global,itext_all,C_itext_mass_HminusG,verified_HH_git,8,13,16,30,30,,L14H16 L15H24 L16H9 L18H9 L20H12 L26H9 L26H28 L31H3,L14H16 L15H24 L15H25 L16H9 L16H29 L18H9 L19H18 L20H12 L26H9 L26H28 L30H9 L31H3 L31H26,L14H16 L15H24 L15H25 L16H9 L16H29 L18H9 L19H18 L19H23 L20H5 L20H12 L22H20 L26H9 L26H28 L30H9 L31H3 L31H26,L16H9 L14H16 L16H6 L18H9 L26H9 L14H20 L16H17 L16H2 L19H13 L15H24 L26H28 L13H10 L16H4 L20H12 L30H10 L26H19 L15H5 L15H4 L12H9 L31H3,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_itext_mass_HminusG.json
global__itext_all__C_itext_mass_HminusG,global,itext_all,C_itext_mass_HminusG,verified_HH_yield,7,13,18,30,30,,L14H16 L15H24 L18H9 L20H12 L26H9 L26H28 L31H3,L14H16 L15H24 L15H25 L16H29 L18H9 L19H18 L20H12 L22H17 L26H9 L26H28 L30H9 L31H3 L31H26,L14H4 L14H16 L15H24 L15H25 L16H29 L18H9 L19H18 L20H5 L20H12 L22H17 L22H20 L26H9 L26H28 L30H5 L30H9 L31H3 L31H26 L31H27,L16H9 L14H16 L16H6 L18H9 L26H9 L14H20 L16H17 L16H2 L19H13 L15H24 L26H28 L13H10 L16H4 L20H12 L30H10 L26H19 L15H5 L15H4 L12H9 L31H3,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_itext_mass_HminusG.json
local__itext_all__C_itext_mass_HminusG,local,itext_all,C_itext_mass_HminusG,verified_HH_git,7,11,14,30,30,,L14H16 L15H24 L16H9 L18H9 L20H12 L26H9 L31H3,L14H16 L15H24 L16H9 L18H9 L19H18 L20H12 L22H20 L26H9 L26H28 L30H9 L31H3,L14H16 L15H24 L16H9 L18H9 L19H18 L19H23 L20H5 L20H12 L22H20 L26H9 L26H28 L30H9 L31H3 L31H26,L16H9 L14H16 L18H9 L26H9 L19H13 L15H24 L13H10 L20H12 L30H10 L12H9 L31H3 L17H10 L21H10 L29H15 L23H1 L22H17 L24H6 L28H23 L25H23 L27H15,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_itext_mass_HminusG.json
local__itext_all__C_itext_mass_HminusG,local,itext_all,C_itext_mass_HminusG,verified_HH_yield,7,12,14,30,30,,L14H16 L15H24 L18H9 L20H12 L22H17 L26H9 L31H3,L14H16 L15H24 L18H9 L19H18 L20H12 L22H17 L22H20 L26H9 L26H28 L30H5 L30H9 L31H3,L14H16 L15H24 L18H9 L19H18 L20H5 L20H12 L22H17 L22H20 L26H9 L26H28 L30H5 L30H9 L31H3 L31H26,L16H9 L14H16 L18H9 L26H9 L19H13 L15H24 L13H10 L20H12 L30H10 L12H9 L31H3 L17H10 L21H10 L29H15 L23H1 L22H17 L24H6 L28H23 L25H23 L27H15,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_itext_mass_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_itext_mass_HminusG,layerweighted_top5mean_alpha2,itext_all,C_itext_mass_HminusG,verified_HH_git,2,4,10,30,30,,L16H9 L16H29,L14H14 L14H16 L16H9 L16H29,L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H9 L16H29 L31H3 L31H26,L16H9 L16H6 L16H17 L16H2 L16H4 L16H29 L16H14 L16H16 L16H18 L16H0 L16H27 L16H30 L16H12 L16H10 L16H21 L16H3 L16H13 L16H22 L16H31 L16H28,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_itext_mass_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_itext_mass_HminusG,layerweighted_top5mean_alpha2,itext_all,C_itext_mass_HminusG,verified_HH_yield,1,4,10,30,30,,L16H29,L14H4 L14H14 L14H16 L16H29,L14H4 L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H29 L31H3 L31H26,L16H9 L16H6 L16H17 L16H2 L16H4 L16H29 L16H14 L16H16 L16H18 L16H0 L16H27 L16H30 L16H12 L16H10 L16H21 L16H3 L16H13 L16H22 L16H31 L16H28,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_itext_mass_HminusG.json
global__txt_attn_raw_all__C_toi_HminusG,global,txt_attn_raw_all,C_toi_HminusG,verified_HH_git,5,11,16,30,30,,L14H16 L15H25 L18H9 L26H9 L26H28,L14H16 L15H25 L16H9 L17H28 L18H9 L19H18 L26H9 L26H28 L30H9 L31H3 L31H26,L14H16 L15H24 L15H25 L16H9 L17H28 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20 L26H9 L26H28 L30H9 L31H3 L31H26,L31H27 L31H13 L14H20 L29H10 L26H9 L28H25 L14H16 L31H0 L23H18 L29H15 L16H2 L26H28 L15H25 L27H12 L12H24 L18H9 L22H11 L26H4 L30H10 L15H4,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_global__txt_attn_raw_all__C_toi_HminusG.json
global__txt_attn_raw_all__C_toi_HminusG,global,txt_attn_raw_all,C_toi_HminusG,verified_HH_yield,6,10,17,30,30,,L14H16 L15H25 L18H9 L26H9 L26H28 L31H27,L14H16 L15H25 L18H9 L19H18 L26H9 L26H28 L30H9 L31H3 L31H26 L31H27,L14H16 L15H24 L15H25 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20 L22H17 L26H9 L26H28 L30H5 L30H9 L31H3 L31H26 L31H27,L31H27 L31H13 L14H20 L29H10 L26H9 L28H25 L14H16 L31H0 L23H18 L29H15 L16H2 L26H28 L15H25 L27H12 L12H24 L18H9 L22H11 L26H4 L30H10 L15H4,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_global__txt_attn_raw_all__C_toi_HminusG.json
local__txt_attn_raw_all__C_toi_HminusG,local,txt_attn_raw_all,C_toi_HminusG,verified_HH_git,5,9,17,30,30,,L15H25 L17H28 L18H9 L19H18 L26H9,L14H16 L15H25 L16H9 L17H28 L18H9 L19H18 L20H12 L26H9 L26H28,L14H16 L15H25 L16H9 L17H28 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20 L22H20 L26H9 L26H28 L29H8 L30H9 L31H3 L31H26,L31H27 L14H20 L29H10 L26H9 L28H25 L23H18 L16H2 L15H25 L27H12 L12H24 L18H9 L22H11 L30H10 L19H18 L24H10 L17H28 L25H23 L13H17 L20H31 L21H10,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_local__txt_attn_raw_all__C_toi_HminusG.json
local__txt_attn_raw_all__C_toi_HminusG,local,txt_attn_raw_all,C_toi_HminusG,verified_HH_yield,5,9,16,30,30,,L15H25 L18H9 L19H18 L26H9 L31H27,L14H16 L15H25 L18H9 L19H18 L20H12 L22H17 L26H9 L26H28 L31H27,L14H16 L15H25 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20 L22H17 L22H20 L26H9 L26H28 L30H9 L31H3 L31H26 L31H27,L31H27 L14H20 L29H10 L26H9 L28H25 L23H18 L16H2 L15H25 L27H12 L12H24 L18H9 L22H11 L30H10 L19H18 L24H10 L17H28 L25H23 L13H17 L20H31 L21H10,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_local__txt_attn_raw_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__txt_attn_raw_all__C_toi_HminusG,layerweighted_top5mean_alpha2,txt_attn_raw_all,C_toi_HminusG,verified_HH_git,2,3,7,30,30,,L31H3 L31H26,L14H16 L31H3 L31H26,L14H14 L14H16 L16H9 L26H9 L26H28 L31H3 L31H26,L31H27 L31H13 L31H0 L31H3 L31H26 L31H24 L31H6 L31H21 L31H2 L31H22 L31H28 L31H12 L31H17 L31H7 L31H15 L31H9 L31H19 L31H14 L31H29 L31H23,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__txt_attn_raw_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__txt_attn_raw_all__C_toi_HminusG,layerweighted_top5mean_alpha2,txt_attn_raw_all,C_toi_HminusG,verified_HH_yield,3,4,8,30,30,,L31H3 L31H26 L31H27,L14H16 L31H3 L31H26 L31H27,L14H4 L14H14 L14H16 L26H9 L26H28 L31H3 L31H26 L31H27,L31H27 L31H13 L31H0 L31H3 L31H26 L31H24 L31H6 L31H21 L31H2 L31H22 L31H28 L31H12 L31H17 L31H7 L31H15 L31H9 L31H19 L31H14 L31H29 L31H23,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__txt_attn_raw_all__C_toi_HminusG.json
global__txt_attn_raw_all__C_logtoi_HminusG,global,txt_attn_raw_all,C_logtoi_HminusG,verified_HH_git,6,11,14,30,30,,L14H16 L16H9 L18H9 L20H20 L26H9 L26H28,L14H16 L16H9 L18H9 L19H27 L20H12 L20H20 L26H9 L26H28 L30H9 L31H3 L31H26,L14H16 L15H24 L16H9 L17H0 L18H9 L19H27 L20H5 L20H12 L20H20 L26H9 L26H28 L30H9 L31H3 L31H26,L31H27 L28H25 L29H10 L14H20 L26H9 L22H11 L26H28 L16H2 L26H14 L14H16 L27H12 L19H13 L18H9 L18H23 L16H17 L20H20 L16H9 L16H31 L15H13 L23H18,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_global__txt_attn_raw_all__C_logtoi_HminusG.json
global__txt_attn_raw_all__C_logtoi_HminusG,global,txt_attn_raw_all,C_logtoi_HminusG,verified_HH_yield,6,11,17,30,30,,L14H16 L18H9 L20H20 L26H9 L26H28 L31H27,L14H16 L18H9 L19H27 L20H12 L20H20 L26H9 L26H28 L30H9 L31H3 L31H26 L31H27,L14H4 L14H16 L15H24 L17H0 L18H9 L19H27 L20H5 L20H12 L20H20 L22H17 L26H9 L26H28 L30H5 L30H9 L31H3 L31H26 L31H27,L31H27 L28H25 L29H10 L14H20 L26H9 L22H11 L26H28 L16H2 L26H14 L14H16 L27H12 L19H13 L18H9 L18H23 L16H17 L20H20 L16H9 L16H31 L15H13 L23H18,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_global__txt_attn_raw_all__C_logtoi_HminusG.json
local__txt_attn_raw_all__C_logtoi_HminusG,local,txt_attn_raw_all,C_logtoi_HminusG,verified_HH_git,3,8,14,30,30,,L18H9 L20H20 L26H9,L14H16 L16H9 L18H9 L19H27 L20H12 L20H20 L26H9 L26H28,L14H16 L16H9 L17H0 L18H9 L19H27 L20H5 L20H12 L20H20 L22H20 L26H9 L26H28 L30H9 L31H3 L31H26,L31H27 L28H25 L29H10 L14H20 L26H9 L22H11 L16H2 L27H12 L19H13 L18H9 L20H20 L15H13 L23H18 L30H12 L12H24 L21H10 L17H9 L25H23 L24H10 L13H26,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_local__txt_attn_raw_all__C_logtoi_HminusG.json
local__txt_attn_raw_all__C_logtoi_HminusG,local,txt_attn_raw_all,C_logtoi_HminusG,verified_HH_yield,4,9,16,30,30,,L18H9 L20H20 L26H9 L31H27,L14H16 L18H9 L19H27 L20H12 L20H20 L22H17 L26H9 L26H28 L31H27,L14H16 L17H0 L18H9 L19H27 L20H5 L20H12 L20H20 L22H17 L22H20 L26H9 L26H28 L30H5 L30H9 L31H3 L31H26 L31H27,L31H27 L28H25 L29H10 L14H20 L26H9 L22H11 L16H2 L27H12 L19H13 L18H9 L20H20 L15H13 L23H18 L30H12 L12H24 L21H10 L17H9 L25H23 L24H10 L13H26,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_local__txt_attn_raw_all__C_logtoi_HminusG.json
layerweighted_top5mean_alpha2__txt_attn_raw_all__C_logtoi_HminusG,layerweighted_top5mean_alpha2,txt_attn_raw_all,C_logtoi_HminusG,verified_HH_git,2,4,7,30,30,,L16H9 L16H29,L16H9 L16H29 L31H3 L31H26,L14H16 L16H9 L16H29 L26H9 L26H28 L31H3 L31H26,L16H2 L16H17 L16H9 L16H31 L16H6 L16H4 L16H13 L16H20 L16H3 L16H0 L16H18 L16H21 L16H5 L16H10 L16H27 L16H30 L16H29 L16H1 L16H15 L16H28,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__txt_attn_raw_all__C_logtoi_HminusG.json
layerweighted_top5mean_alpha2__txt_attn_raw_all__C_logtoi_HminusG,layerweighted_top5mean_alpha2,txt_attn_raw_all,C_logtoi_HminusG,verified_HH_yield,1,4,7,30,30,,L16H29,L16H29 L31H3 L31H26 L31H27,L14H16 L16H29 L26H9 L26H28 L31H3 L31H26 L31H27,L16H2 L16H17 L16H9 L16H31 L16H6 L16H4 L16H13 L16H20 L16H3 L16H0 L16H18 L16H21 L16H5 L16H10 L16H27 L16H30 L16H29 L16H1 L16H15 L16H28,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__txt_attn_raw_all__C_logtoi_HminusG.json
global__txt_attn_raw_all__C_itext_mass_HminusG,global,txt_attn_raw_all,C_itext_mass_HminusG,verified_HH_git,8,13,16,30,30,,L14H16 L16H9 L18H9 L20H12 L26H9 L26H28 L30H9 L31H3,L14H16 L15H24 L15H25 L16H9 L16H29 L18H9 L19H18 L20H12 L26H9 L26H28 L30H9 L31H3 L31H26,L14H16 L15H24 L15H25 L16H9 L16H29 L18H9 L19H18 L19H23 L20H5 L20H12 L22H20 L26H9 L26H28 L30H9 L31H3 L31H26,L16H9 L18H9 L14H16 L26H9 L19H13 L14H20 L16H2 L16H17 L26H28 L20H12 L30H10 L16H6 L16H4 L13H10 L31H3 L15H4 L12H18 L15H5 L12H9 L30H9,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_global__txt_attn_raw_all__C_itext_mass_HminusG.json
global__txt_attn_raw_all__C_itext_mass_HminusG,global,txt_attn_raw_all,C_itext_mass_HminusG,verified_HH_yield,7,12,17,30,30,,L14H16 L18H9 L20H12 L26H9 L26H28 L30H9 L31H3,L14H16 L15H24 L15H25 L16H29 L18H9 L19H18 L20H12 L26H9 L26H28 L30H9 L31H3 L31H26,L14H16 L15H24 L15H25 L16H29 L18H9 L19H18 L20H5 L20H12 L22H17 L22H20 L26H9 L26H28 L30H5 L30H9 L31H3 L31H26 L31H27,L16H9 L18H9 L14H16 L26H9 L19H13 L14H20 L16H2 L16H17 L26H28 L20H12 L30H10 L16H6 L16H4 L13H10 L31H3 L15H4 L12H18 L15H5 L12H9 L30H9,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_global__txt_attn_raw_all__C_itext_mass_HminusG.json
local__txt_attn_raw_all__C_itext_mass_HminusG,local,txt_attn_raw_all,C_itext_mass_HminusG,verified_HH_git,6,11,14,30,30,,L14H16 L16H9 L18H9 L20H12 L26H9 L31H3,L14H16 L16H9 L18H9 L19H18 L20H12 L22H20 L26H9 L26H28 L30H9 L31H3 L31H26,L14H16 L15H25 L16H9 L18H9 L19H18 L19H23 L20H5 L20H12 L22H20 L26H9 L26H28 L30H9 L31H3 L31H26,L16H9 L18H9 L14H16 L26H9 L19H13 L20H12 L30H10 L13H10 L31H3 L15H4 L12H18 L23H1 L17H9 L21H10 L29H15 L24H6 L22H17 L28H23 L25H23 L27H15,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_local__txt_attn_raw_all__C_itext_mass_HminusG.json
local__txt_attn_raw_all__C_itext_mass_HminusG,local,txt_attn_raw_all,C_itext_mass_HminusG,verified_HH_yield,6,12,14,30,30,,L14H16 L18H9 L20H12 L22H17 L26H9 L31H3,L14H16 L18H9 L19H18 L20H12 L22H17 L22H20 L26H9 L26H28 L30H5 L30H9 L31H3 L31H26,L14H16 L15H25 L18H9 L19H18 L20H5 L20H12 L22H17 L22H20 L26H9 L26H28 L30H5 L30H9 L31H3 L31H26,L16H9 L18H9 L14H16 L26H9 L19H13 L20H12 L30H10 L13H10 L31H3 L15H4 L12H18 L23H1 L17H9 L21H10 L29H15 L24H6 L22H17 L28H23 L25H23 L27H15,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_local__txt_attn_raw_all__C_itext_mass_HminusG.json
layerweighted_top5mean_alpha2__txt_attn_raw_all__C_itext_mass_HminusG,layerweighted_top5mean_alpha2,txt_attn_raw_all,C_itext_mass_HminusG,verified_HH_git,2,4,9,30,30,,L16H9 L16H29,L14H14 L14H16 L16H9 L16H29,L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H9 L16H29 L19H18,L16H9 L16H2 L16H17 L16H6 L16H4 L16H29 L16H14 L16H16 L16H18 L16H0 L16H27 L16H12 L16H30 L16H21 L16H10 L16H3 L16H13 L16H22 L16H31 L16H11,./results_l12_l31/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l12_l31_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__txt_attn_raw_all__C_itext_mass_HminusG.json
