score_name,verified_set,top20,top30,top50,top100,top20_heads,path
layerprior_top5mean_alpha1p0__itext_all__C_toi_HminusG,verified_HH_git,6,10,12,16,L31H27 L31H13 L31H0 L14H16 L14H20 L26H9 L26H28 L15H25 L16H2 L26H14 L31H3 L14H19 L15H4 L16H17 L23H18 L26H4 L30H10 L16H6 L31H26 L24H23,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha1p0__itext_all__C_toi_HminusG.json
layerprior_top5mean_alpha1p0__itext_all__C_toi_HminusG,verified_HH_yield,7,11,12,17,L31H27 L31H13 L31H0 L14H16 L14H20 L26H9 L26H28 L15H25 L16H2 L26H14 L31H3 L14H19 L15H4 L16H17 L23H18 L26H4 L30H10 L16H6 L31H26 L24H23,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha1p0__itext_all__C_toi_HminusG.json
layerprior_top5mean_alpha1p0__txt_attn_raw_all__C_itext_mass_HminusG,verified_HH_git,6,9,13,15,L16H9 L16H2 L16H17 L16H6 L16H4 L14H16 L14H20 L16H29 L16H14 L19H13 L26H9 L14H12 L15H5 L18H9 L26H28 L14H23 L16H16 L15H22 L13H10 L15H4,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha1p0__txt_attn_raw_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha1p0__txt_attn_raw_all__C_itext_mass_HminusG,verified_HH_yield,5,8,11,17,L16H9 L16H2 L16H17 L16H6 L16H4 L14H16 L14H20 L16H29 L16H14 L19H13 L26H9 L14H12 L15H5 L18H9 L26H28 L14H23 L16H16 L15H22 L13H10 L15H4,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha1p0__txt_attn_raw_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha1p0__txt_attn_raw_all__C_toi_HminusG,verified_HH_git,7,9,11,17,L31H27 L31H13 L31H0 L14H20 L14H16 L26H9 L26H28 L15H25 L16H2 L31H3 L26H14 L23H18 L14H19 L30H10 L31H26 L15H4 L26H4 L16H17 L14H22 L30H9,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha1p0__txt_attn_raw_all__C_toi_HminusG.json
layerprior_top5mean_alpha1p0__txt_attn_raw_all__C_toi_HminusG,verified_HH_yield,8,10,11,18,L31H27 L31H13 L31H0 L14H20 L14H16 L26H9 L26H28 L15H25 L16H2 L31H3 L26H14 L23H18 L14H19 L30H10 L31H26 L15H4 L26H4 L16H17 L14H22 L30H9,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha1p0__txt_attn_raw_all__C_toi_HminusG.json
layerprior_top5mean_alpha2p0__itext_all__C_itext_mass_HminusG,verified_HH_git,5,7,11,15,L16H9 L16H6 L16H2 L16H17 L16H4 L14H16 L16H29 L16H14 L14H20 L15H24 L16H16 L15H5 L14H12 L16H18 L14H23 L15H4 L15H22 L15H28 L15H25 L15H6,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__itext_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha2p0__itext_all__C_itext_mass_HminusG,verified_HH_yield,4,6,11,15,L16H9 L16H6 L16H2 L16H17 L16H4 L14H16 L16H29 L16H14 L14H20 L15H24 L16H16 L15H5 L14H12 L16H18 L14H23 L15H4 L15H22 L15H28 L15H25 L15H6,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__itext_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha2p0__itext_all__C_toi_HminusG,verified_HH_git,6,9,12,15,L31H27 L31H13 L31H0 L14H16 L14H20 L26H9 L26H28 L31H3 L15H25 L16H2 L26H14 L31H26 L14H19 L26H4 L15H4 L16H17 L16H6 L14H22 L30H10 L14H29,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__itext_all__C_toi_HminusG.json
layerprior_top5mean_alpha2p0__itext_all__C_toi_HminusG,verified_HH_yield,7,10,12,16,L31H27 L31H13 L31H0 L14H16 L14H20 L26H9 L26H28 L31H3 L15H25 L16H2 L26H14 L31H26 L14H19 L26H4 L15H4 L16H17 L16H6 L14H22 L30H10 L14H29,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__itext_all__C_toi_HminusG.json
layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_itext_mass_HminusG,verified_HH_git,4,7,11,15,L16H9 L16H2 L16H17 L16H6 L16H4 L16H29 L14H16 L16H14 L14H20 L16H16 L14H12 L14H23 L16H18 L15H5 L19H13 L15H22 L16H0 L26H9 L15H4 L15H28,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_itext_mass_HminusG,verified_HH_yield,3,6,10,17,L16H9 L16H2 L16H17 L16H6 L16H4 L16H29 L14H16 L16H14 L14H20 L16H16 L14H12 L14H23 L16H18 L15H5 L19H13 L15H22 L16H0 L26H9 L15H4 L15H28,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_toi_HminusG,verified_HH_git,6,8,12,15,L31H27 L31H13 L31H0 L14H20 L14H16 L26H9 L31H3 L26H28 L31H26 L15H25 L14H19 L16H2 L26H14 L14H22 L15H4 L26H4 L30H10 L14H28 L14H29 L16H17,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_toi_HminusG.json
layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_toi_HminusG,verified_HH_yield,7,9,12,16,L31H27 L31H13 L31H0 L14H20 L14H16 L26H9 L31H3 L26H28 L31H26 L15H25 L14H19 L16H2 L26H14 L14H22 L15H4 L26H4 L30H10 L14H28 L14H29 L16H17,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_toi_HminusG.json
